storeId,storeName,title,url,price,wasPrice,discountPct,availability,rating,image,scrapedAt
"2407","Niagara Pen Centre","","https://www.toysrus.ca/en/toysrus/Brands/P/Pavilion","","","","Pickup Only","3.5","https://www.toysrus.ca/on/demandware.static/-/Library-Sites-toys-global/default/dw3114b746/images/header/logo/toysRUs.svg","2025-12-27T00:05:45.891Z"
"2407","Niagara Pen Centre","","https://www.toysrus.ca/en/Pictionary-Vs.-AI/34864979.html","","","","","5","","2025-12-27T00:05:45.891Z"
"2407","Niagara Pen Centre","","https://www.toysrus.ca/en/Gabby-s-Dollhouse--MerCat-s-Spa-Room-Playset--with-MerCat-Toy-Figure--Surprise-Toys-and-Dollhouse-Furniture/94972839.html","","","","","3.6","","2025-12-27T00:05:45.891Z"
"2407","Niagara Pen Centre","","https://www.toysrus.ca/en/Squishmallows-8----Mothra/04994985.html","","","","","3.3","","2025-12-27T00:05:45.891Z"
